,Problem,Link
0,Data Types,https://bit.ly/3Dqmgvx
1,If Else statements,https://practice.geeksforgeeks.org/problems/java-if-else-decision-making0924/0?category%5B%5D=Java&amp;category%5B%5D=Java&amp;difficulty%5B%5D=-2&amp;page=1&amp;query=category%5B%5DJavadifficulty%5B%5D-2page1category%5B%5DJava
2,Switch Statement,https://practice.geeksforgeeks.org/problems/java-switch-case-statement3529/1
3,For loops,https://www.codingninjas.com/studio/problems/nth-fibonacci-number_74156?utm_source=striver&amp;utm_medium=website&amp;utm_campaign=a_zcoursetuf
4,While loops,https://practice.geeksforgeeks.org/problems/while-loop-printtable-java/1
5,Functions (Pass by Reference and Value),https://bit.ly/3DqE0ac
6,"Time Complexity [Learn Basics, and then analyse in next Steps]",https://takeuforward.org/time-complexity/time-and-space-complexity-strivers-a2z-dsa-course/
7,Patterns,https://takeuforward.org/strivers-a2z-dsa-course/must-do-pattern-problems-before-starting-dsa/
8,C++ STL,https://www.youtube.com/watch?v=RRVYpIET_RU
9,Count Digits,https://practice.geeksforgeeks.org/problems/count-digits5716/1
10,Reverse a Number,https://leetcode.com/problems/reverse-integer/
11,Check Palindrome,https://leetcode.com/problems/palindrome-number/
12,GCD Or HCF,https://practice.geeksforgeeks.org/problems/lcm-and-gcd4516/1
13,Armstrong Numbers,https://leetcode.com/problems/armstrong-number/
14,Print all Divisors,https://practice.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n4738/1
15,Check for Prime,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1
16,Understand recursion by print something N times,https://bit.ly/3K2epHv
17,Print name N times using recursion,https://bit.ly/3y2BiWz
18,Print 1 to N using recursion,https://practice.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1
19,Print N to 1 using recursion,https://bit.ly/3LOkcBn
20,Sum of first N numbers,https://practice.geeksforgeeks.org/problems/sum-of-first-n-terms5843/1
21,Factorial of N numbers,https://practice.geeksforgeeks.org/problems/find-all-factorial-numbers-less-than-or-equal-to-n3548/0?problemType=functional&amp;difficulty%5B%5D=-1&amp;page=1&amp;query=problemTypefunctionaldifficulty%5B%5D-1page1
22,Reverse an array,https://practice.geeksforgeeks.org/problems/reverse-an-array/0
23,Check if a string is palindrome or not,https://leetcode.com/problems/valid-palindrome/
24,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/
25,Hashing Theory,https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/
26,Counting frequencies of array elements,https://practice.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/0
27,Find the highest/lowest frequency element,https://leetcode.com/problems/frequency-of-the-most-frequent-element/
28,Selection Sort,https://bit.ly/3ppA6YJ
29,Bubble Sort,https://bit.ly/3w6yQx8
30,Insertion Sort,https://bit.ly/3JVcqot
31,Merge Sort,https://bit.ly/3A30Anw
32,Recursive Bubble Sort,https://bit.ly/3QV65vI
33,Recursive Insertion Sort,https://bit.ly/3PxAWx1
34,Quick Sort,https://bit.ly/3dsEbIK
35,Largest Element in an Array,https://bit.ly/3Pld280
36,Second Largest Element in an Array without sorting,https://bit.ly/3pFvBcN
37,Check if the array is sorted,"https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/#:~:text=Input%3A%20nums%20%3D%20%5B2%2C,no%20rotation)%20to%20make%20nums."
38,Remove duplicates from Sorted array,"https://leetcode.com/problems/remove-duplicates-from-sorted-array/#:~:text=Input%3A%20nums%20%3D%20%5B0%2C,%2C%203%2C%20and%204%20respectively."
39,Left Rotate an array by one place,https://leetcode.com/problems/rotate-array/
40,Left rotate an array by D places,https://leetcode.com/problems/rotate-array/
41,Move Zeros to end,https://leetcode.com/problems/move-zeroes/
42,Linear Search,https://bit.ly/3KcpHcB
43,Find the Union,https://bit.ly/3Ap7Onp
44,Find missing number in an array,https://leetcode.com/problems/missing-number/
45,Maximum Consecutive Ones,https://leetcode.com/problems/max-consecutive-ones/
46,"Find the number that appears once, and other numbers twice.",https://leetcode.com/problems/single-number/
47,Longest subarray with given sum K(positives),https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?utm_source=youtube&amp;utm_medium=collab_striver_ytdescription&amp;utm_campaign=longest-sub-array-with-sum-k
48,Longest subarray with sum K (Positives + Negatives),https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1?utm_source=youtube&amp;utm_medium=collab_striver_ytdescription&amp;utm_campaign=longest-sub-array-with-sum-k
49,2Sum Problem,https://leetcode.com/problems/two-sum/
50,Sort an array of 0's 1's and 2's,https://leetcode.com/problems/sort-colors/
51,Majority Element (&gt;n/2 times),https://leetcode.com/problems/majority-element/
52,"Kadane's Algorithm, maximum subarray sum",https://leetcode.com/problems/maximum-subarray/
53,Print subarray with maximum subarray sum (extended version of above problem),https://bit.ly/3SLFFhs
54,Stock Buy and Sell,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
55,Rearrange the array in alternating positive and negative items,https://leetcode.com/problems/rearrange-array-elements-by-sign/
56,Next Permutation,https://leetcode.com/problems/next-permutation/
57,Leaders in an Array problem,https://bit.ly/3bZqbGc
58,Longest Consecutive Sequence in an Array,https://leetcode.com/problems/longest-consecutive-sequence/solution/
59,Set Matrix Zeros,https://leetcode.com/problems/set-matrix-zeroes/
60,Rotate Matrix by 90 degrees,https://leetcode.com/problems/rotate-image/
61,Print the matrix in spiral manner,https://leetcode.com/problems/spiral-matrix/
62,Count subarrays with given sum,https://leetcode.com/problems/subarray-sum-equals-k/
63,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/
64,Majority Element (n/3 times),https://leetcode.com/problems/majority-element-ii/
65,3-Sum Problem,https://leetcode.com/problems/3sum/
66,4-Sum Problem,https://leetcode.com/problems/4sum/
67,Largest Subarray with 0 Sum,https://bit.ly/3w5QSzC
68,Count number of subarrays with given xor K,https://www.interviewbit.com/problems/subarray-with-given-xor/
69,Merge Overlapping Subintervals,https://leetcode.com/problems/merge-intervals/
70,Merge two sorted arrays without extra space,https://leetcode.com/problems/merge-sorted-array/
71,Find the repeating and missing number,https://bit.ly/3zWZoCs
72,Count Inversions,https://bit.ly/3PtLWLM
73,Reverse Pairs,https://leetcode.com/problems/reverse-pairs/
74,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/
75,Binary Search to find X in sorted array,https://leetcode.com/problems/binary-search/
76,Implement Lower Bound,https://bit.ly/3Cf398N
77,Implement Upper Bound,https://bit.ly/3CgDDjE
78,Search Insert Position,"https://leetcode.com/problems/search-insert-position/#:~:text=Search%20Insert%20Position%20%2D%20LeetCode&amp;text=Given%20a%20sorted%20array%20of,(log%20n)%20runtime%20complexity."
79,Floor/Ceil in Sorted Array,https://www.codingninjas.com/codestudio/problems/ceiling-in-a-sorted-array_1825401
80,Find the first or last occurrence of a given number in a sorted array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
81,Count occurrences of a number in a sorted array with duplicates,https://bit.ly/3SVcOqW
82,Search in Rotated Sorted Array I,https://leetcode.com/problems/search-in-rotated-sorted-array/
83,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/
84,Find minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
85,Find out how many times has an array been rotated,https://bit.ly/3dEvWJD
86,Single element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/
87,Find peak element,"https://leetcode.com/problems/find-peak-element/#:~:text=Find%20Peak%20Element%20%2D%20LeetCode&amp;text=A%20peak%20element%20is%20an,to%20any%20of%20the%20peaks."
88,Find square root of a number in log n,https://bit.ly/3JXtGcE
89,Find the Nth root of a number using binary search,https://bit.ly/3zWNyrL
90,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/
91,Minimum days to make M bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/
